Significant_PC,Bacteria_PC
PC1,Coprococcus_catus
PC3,Coprococcus_catus
PC5,Coprococcus_catus
PC1,Eubacterium_hallii
PC5,Eubacterium_hallii
PC1,Dorea_longicatena
PC5,Dorea_longicatena
PC1,Alistipes_putredinis
PC2,Alistipes_putredinis
PC1,Roseburia_intestinalis
PC3,Roseburia_intestinalis
PC5,Roseburia_intestinalis
PC1,Subdoligranulum_unclassified
PC3,Subdoligranulum_unclassified
PC10,Subdoligranulum_unclassified
PC5,Eubacterium_rectale
PC14,Eubacterium_rectale
PC5,Dorea_formicigenerans
PC10,Dorea_formicigenerans
PC14,Dorea_formicigenerans
PC1,Ruminococcus_lactaris
PC5,Anaerostipes_hadrus
PC1,Akkermansia_muciniphila
PC5,Roseburia_inulinivorans
PC1,Ruminococcus_obeum
PC4,Ruminococcus_obeum
PC3,Ruminococcus_sp_5_1_39BFAA
PC4,Ruminococcus_sp_5_1_39BFAA
PC5,Ruminococcus_sp_5_1_39BFAA
PC3,Bilophila_unclassified
PC1,Adlercreutzia_equolifaciens
PC4,Adlercreutzia_equolifaciens
PC1,Roseburia_hominis
PC1,Bacteroides_cellulosilyticus
PC1,Barnesiella_intestinihominis
PC3,Barnesiella_intestinihominis
PC4,Barnesiella_intestinihominis
PC1,Gordonibacter_pamelaeae
PC4,Gordonibacter_pamelaeae
PC1,Bacteroidales_bacterium_ph8
PC2,Bacteroidales_bacterium_ph8
PC3,Bacteroidales_bacterium_ph8
PC43,Bacteroidales_bacterium_ph8
PC1,Ruminococcus_torques
PC3,Ruminococcus_torques
PC1,Lachnospiraceae_bacterium_3_1_46FAA
PC5,Eubacterium_ramulus
PC1,Ruminococcus_bromii
PC1,Eubacterium_ventriosum
PC14,Eubacterium_ventriosum
PC1,Clostridium_leptum
PC1,Ruminococcus_callidus
PC1,Alistipes_indistinctus
PC1,Flavonifractor_plautii
PC2,Roseburia_unclassified
PC3,Roseburia_unclassified
PC1,Alistipes_shahii
PC2,Alistipes_shahii
PC1,Clostridium_symbiosum
PC1,Alistipes_finegoldii
PC14,Alistipes_finegoldii
